@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
1, 11, Stop, 6, 5, 6, 9, 8, 11, 14,6, 7, 0, Stop
1, 11, Stop, 5, 5, 6, 9, 8, 11, 14,6, 7, -1, Stop
1, 11, Stop, 4, 5, 7, 9, 8, 11, 14,7, 7, -2, Stop
1, 11, Stop, 5, 5, 7, 8, 8, 11, 14,6, 7, -3, Stop
1, 11, Stop, 6, 5, 7, 9, 9, 11, 14,5, 8, -4, Stop
1, 11, Stop, 7, 5, 6, 9, 9, 11, 14,4, 7, -5, East
2, 11, East, 8, 5, 7, 9, 9, 11, 14,4, 7, -6, East
3, 11, East, 8, 5, 8, 9, 8, 11, 14,4, 5, -7, East
4, 11, East, 8, 5, 7, 9, 7, 11, 15,4, 3, -8, East
5, 11, East, 7, 5, 8, 9, 7, 11, 16,4, 2, -9, East
6, 11, East, 7, 5, 9, 9, 7, 11, 16,5, 1, -10, East
7, 11, East, 7, 4, 9, 8, 5, 1, 17,5, 5, 189, East
8, 11, East, 8, 4, 9, 7, 5, 1, 17,5, 5, 188, East
9, 11, East, 8, 3, 9, 7, 5, 1, 17,5, 4, 187, East
10, 11, East, 7, 3, 8, 7, 5, 1, 17,4, 6, 186, East
11, 11, East, 7, 4, 8, 8, 5, 1, 17,3, 6, 185, East
12, 11, East, 7, 4, 7, 8, 5, 1, 16,3, 8, 184, East
13, 11, East, 7, 5, 7, 8, 5, 1, 16,4, 9, 183, East
14, 11, East, 6, 5, 7, 7, 5, 1, 15,4, 8, 182, South
14, 10, South, 7, 5, 6, 7, 5, 1, 15,4, 7, 281, South
14, 9, South, 7, 4, 6, 7, 5, 1, 15,4, 5, 280, South
14, 8, South, 6, 4, 6, 7, 5, 1, 14,4, 4, 279, South
14, 7, South, 7, 4, 6, 8, 5, 1, 14,4, 2, 278, South
14, 6, South, 6, 4, 6, 8, 5, 1, 14,5, 1, 277, South
14, 5, South, 6, 4, 7, 8, 5, 1, 7,1, 9, 476, West
13, 5, West, 6, 4, 7, 7, 5, 1, 7,1, 8, 475, West
12, 5, West, 6, 4, 8, 7, 5, 1, 7,1, 6, 474, West
11, 5, West, 6, 3, 8, 8, 5, 1, 7,1, 6, 473, West
10, 5, West, 6, 3, 8, 8, 5, 1, 7,1, 5, 472, North
10, 6, North, 6, 3, 8, 7, 5, 1, 7,1, 3, 571, West
9, 6, West, 6, 4, 8, 7, 5, 1, 7,1, 2, 570, West
8, 6, West, 5, 4, 7, 7, 5, 1, 7,1, 2, 569, Stop
8, 6, West, 6, 4, 7, 7, 5, 1, 7,1, 2, 568, North
8, 7, North, 6, 3, 7, 8, 5, 1, 7,1, 2, 567, North
8, 8, North, 5, 3, 7, 7, 5, 1, 7,1, 2, 566, West
7, 8, West, 5, 4, 7, 7, 5, 1, 7,1, 1, 565, West
6, 8, West, 4, 4, 7, 8, 5, 1, 7,1, 1, 564, West
5, 8, West, 5, 4, 8, 8, 5, 1, 7,1, 3, 563, South
5, 7, South, 5, 3, 9, 8, 5, 1, 7,1, 4, 562, East
6, 7, East, 5, 4, 9, 9, 5, 1, 7,1, 4, 561, East
7, 7, East, 4, 4, 8, 9, 5, 1, 7,1, 3, 560, East
8, 7, East, 3, 4, 7, 9, 5, 1, 7,1, 3, 559, North
8, 8, North, 3, 3, 8, 9, 5, 1, 7,1, 1, 558, West
7, 8, West, 3, 4, 7, 9, 5, 1, 7,1, 1, 557, West
6, 8, West, 3, 5, 7, 8, 5, 1, 7,1, 1, 556, West
5, 8, West, 3, 4, 6, 8, 5, 1, 7,1, 1, 555, West
4, 8, West, 3, 5, 6, 8, 5, 1, 7,1, 2, 554, East
