@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
1, 11, 6, 5, 6, 9, 8, 11, 14,6, Stop
1, 11, 6, 5, 6, 10, 8, 11, 14,6, Stop
1, 11, 7, 5, 6, 9, 8, 11, 14,7, East
2, 11, 6, 5, 7, 9, 9, 11, 13,7, East
3, 11, 7, 5, 7, 9, 9, 11, 13,7, East
4, 11, 7, 4, 7, 8, 10, 11, 14,7, East
5, 11, 8, 4, 7, 7, 9, 11, 13,7, East
6, 11, 8, 3, 7, 8, 10, 11, 13,7, East
7, 11, 9, 3, 8, 8, 11, 11, 13,7, East
8, 11, 8, 3, 7, 8, 11, 11, 12,7, East
9, 11, 8, 3, 7, 9, 11, 11, 12,7, East
10, 11, 9, 3, 8, 9, 5, 1, 12,7, East
11, 11, 8, 3, 9, 9, 5, 1, 12,8, South
11, 10, 7, 3, 9, 9, 5, 1, 12,7, South
11, 9, 8, 3, 8, 9, 5, 1, 12,7, West
10, 9, 7, 3, 7, 9, 5, 1, 12,7, West
9, 9, 8, 3, 6, 9, 5, 1, 12,8, West
8, 9, 8, 4, 6, 9, 5, 1, 12,8, West
7, 9, 9, 4, 6, 9, 5, 1, 13,8, West
6, 9, 8, 4, 3, 1, 5, 1, 13,7, West
5, 9, 8, 3, 3, 1, 5, 1, 12,7, West
4, 9, 9, 3, 3, 1, 5, 1, 12,7, West
3, 9, 9, 4, 3, 1, 5, 1, 12,8, West
2, 9, 8, 4, 3, 1, 5, 1, 12,9, West
1, 9, 8, 5, 3, 1, 5, 1, 13,9, South
1, 8, 7, 5, 3, 1, 5, 1, 13,9, South
1, 7, 8, 5, 3, 1, 5, 1, 14,9, South
1, 6, 8, 6, 3, 1, 5, 1, 14,10, South
1, 5, 8, 5, 3, 1, 5, 1, 14,9, East
2, 5, 8, 5, 3, 1, 5, 1, 13,9, East
3, 5, 9, 5, 3, 1, 5, 1, 12,9, East
4, 5, 8, 5, 3, 1, 5, 1, 12,8, East
5, 5, 8, 4, 3, 1, 5, 1, 12,8, East
6, 5, 8, 5, 3, 1, 5, 1, 12,9, East
7, 5, 8, 5, 3, 1, 5, 1, 12,9, East
8, 5, 1, 1, 3, 1, 5, 1, 13,9, East
9, 5, 1, 1, 3, 1, 5, 1, 13,9, North
9, 6, 1, 1, 3, 1, 5, 1, 14,9, North
9, 7, 1, 1, 3, 1, 5, 1, 14,10, North
9, 8, 1, 1, 3, 1, 5, 1, 14,10, North
9, 9, 1, 1, 3, 1, 5, 1, 14,11, East
10, 9, 1, 1, 3, 1, 5, 1, 14,11, East
11, 9, 1, 1, 3, 1, 5, 1, 15,11, East
12, 9, 1, 1, 3, 1, 5, 1, 16,11, East
13, 9, 1, 1, 3, 1, 5, 1, 16,11, East
14, 9, 1, 1, 3, 1, 5, 1, 15,11, North
14, 10, 1, 1, 3, 1, 5, 1, 16,11, North
14, 11, 1, 1, 3, 1, 5, 1, 16,11, East
1, 11, 6, 5, 6, 9, 8, 11, 14,6, East
2, 11, 7, 5, 5, 9, 8, 11, 14,6, East
3, 11, 7, 4, 4, 9, 9, 11, 14,6, East
4, 11, 7, 3, 3, 9, 8, 11, 14,6, East
5, 11, 7, 3, 3, 9, 7, 11, 14,5, East
6, 11, 8, 3, 3, 9, 7, 11, 13,5, East
7, 11, 9, 3, 4, 9, 5, 1, 12,5, East
8, 11, 8, 3, 5, 9, 5, 1, 12,5, East
9, 11, 8, 3, 4, 9, 5, 1, 12,5, East
10, 11, 8, 4, 3, 9, 5, 1, 11,5, South
10, 10, 8, 3, 3, 9, 5, 1, 11,5, South
10, 9, 8, 3, 2, 9, 5, 1, 12,5, West
9, 9, 9, 3, 1, 9, 5, 1, 13,5, West
8, 9, 9, 4, 1, 9, 5, 1, 13,4, West
7, 9, 9, 5, 2, 9, 5, 1, 13,3, West
6, 9, 9, 4, 3, 9, 5, 1, 13,4, West
5, 9, 8, 4, 2, 9, 5, 1, 13,3, West
4, 9, 7, 4, 1, 9, 5, 1, 13,4, West
3, 9, 6, 4, 2, 9, 5, 1, 14,4, West
2, 9, 6, 4, 3, 1, 5, 1, 14,3, West
1, 9, 6, 4, 3, 1, 5, 1, 14,4, South
1, 8, 7, 4, 3, 1, 5, 1, 13,4, South
1, 7, 7, 3, 3, 1, 5, 1, 13,5, South
1, 6, 7, 3, 3, 1, 5, 1, 12,5, South
1, 5, 7, 4, 3, 1, 5, 1, 13,5, South
1, 4, 7, 5, 3, 1, 5, 1, 12,5, East
2, 4, 6, 5, 3, 1, 5, 1, 12,5, East
3, 4, 5, 5, 3, 1, 5, 1, 12,5, East
4, 4, 4, 5, 3, 1, 5, 1, 11,5, North
4, 5, 1, 1, 3, 1, 5, 1, 12,5, Stop
4, 5, 1, 1, 3, 1, 5, 1, 13,5, East
5, 5, 1, 1, 3, 1, 5, 1, 14,5, East
6, 5, 1, 1, 3, 1, 5, 1, 14,4, East
7, 5, 1, 1, 3, 1, 5, 1, 14,3, East
8, 5, 1, 1, 3, 1, 5, 1, 15,3, East
9, 5, 1, 1, 3, 1, 5, 1, 14,3, East
10, 5, 1, 1, 3, 1, 5, 1, 14,3, East
11, 5, 1, 1, 3, 1, 5, 1, 13,3, East
12, 5, 1, 1, 3, 1, 5, 1, 14,3, East
13, 5, 1, 1, 3, 1, 5, 1, 13,3, East
14, 5, 1, 1, 3, 1, 5, 1, 13,4, South
14, 4, 1, 1, 3, 1, 5, 1, 13,3, South
14, 3, 1, 1, 3, 1, 5, 1, 13,3, West
13, 3, 1, 1, 3, 1, 5, 1, 13,4, Stop
13, 3, 1, 1, 3, 1, 5, 1, 13,4, North
1, 11, 6, 5, 6, 9, 8, 11, 14,6, Stop
1, 11, 6, 4, 6, 10, 9, 11, 14,6, Stop
1, 11, 7, 4, 5, 10, 8, 11, 14,6, Stop
1, 11, 7, 4, 6, 10, 7, 11, 14,7, East
2, 11, 7, 5, 6, 11, 6, 11, 14,6, East
3, 11, 7, 5, 7, 11, 6, 11, 14,7, East
4, 11, 7, 4, 6, 11, 5, 11, 14,8, East
5, 11, 7, 5, 7, 11, 5, 1, 14,8, East
6, 11, 7, 5, 7, 11, 5, 1, 14,8, East
7, 11, 7, 5, 3, 1, 5, 1, 13,8, East
8, 11, 7, 5, 3, 1, 5, 1, 13,9, East
9, 11, 7, 4, 3, 1, 5, 1, 13,8, East
10, 11, 7, 4, 3, 1, 5, 1, 12,8, East
11, 11, 7, 5, 3, 1, 5, 1, 12,8, East
12, 11, 7, 5, 3, 1, 5, 1, 12,9, East
13, 11, 7, 4, 3, 1, 5, 1, 12,8, East
14, 11, 7, 3, 3, 1, 5, 1, 13,8, South
14, 10, 7, 4, 3, 1, 5, 1, 12,8, South
14, 9, 8, 4, 3, 1, 5, 1, 12,7, South
14, 8, 8, 5, 3, 1, 5, 1, 12,7, West
13, 8, 8, 6, 3, 1, 5, 1, 12,7, West
12, 8, 8, 7, 3, 1, 5, 1, 12,7, Stop
12, 8, 7, 7, 3, 1, 5, 1, 12,7, South
12, 7, 7, 8, 3, 1, 5, 1, 13,7, Stop
12, 7, 7, 8, 3, 1, 5, 1, 14,7, East
13, 7, 8, 8, 3, 1, 5, 1, 15,7, East
14, 7, 8, 9, 3, 1, 5, 1, 16,7, East
15, 7, 9, 9, 3, 1, 5, 1, 17,7, East
16, 7, 8, 9, 3, 1, 5, 1, 17,7, East
17, 7, 7, 9, 3, 1, 5, 1, 7,1, East
18, 7, 7, 8, 3, 1, 5, 1, 7,1, Stop
18, 7, 7, 9, 3, 1, 5, 1, 7,1, South
18, 6, 7, 8, 3, 1, 5, 1, 7,1, South
18, 5, 8, 8, 3, 1, 5, 1, 7,1, South
18, 4, 9, 8, 3, 1, 5, 1, 7,1, West
17, 4, 10, 8, 3, 1, 5, 1, 7,1, West
16, 4, 10, 8, 3, 1, 5, 1, 7,1, West
15, 4, 10, 8, 3, 1, 5, 1, 7,1, North
