@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
1, 11, Stop, 7, 0, Stop
1, 11, Stop, 6, -1, Stop
1, 11, Stop, 7, -2, Stop
1, 11, Stop, 8, -3, East
2, 11, East, 7, -4, East
3, 11, East, 6, -5, East
4, 11, East, 4, -6, East
5, 11, East, 3, -7, East
6, 11, East, 2, -8, East
7, 11, East, 3, 191, East
8, 11, East, 3, 190, East
9, 11, East, 3, 189, East
10, 11, East, 3, 188, East
11, 11, East, 2, 187, East
12, 11, East, 2, 186, East
13, 11, East, 3, 185, East
14, 11, East, 5, 184, South
14, 10, South, 3, 283, South
14, 9, South, 4, 282, South
14, 8, South, 4, 281, East
15, 8, East, 2, 280, East
16, 8, East, 2, 279, East
17, 8, East, 2, 278, East
18, 8, East, 1, 277, Stop
18, 8, East, 1, 276, Stop
18, 8, East, 9, 475, North
18, 9, North, 7, 474, North
18, 10, North, 6, 473, North
18, 11, North, 4, 472, West
17, 11, West, 2, 471, West
16, 11, West, 11, 670, West
15, 11, West, 9, 669, West
14, 11, West, 9, 668, West
13, 11, West, 9, 667, West
12, 11, West, 7, 666, West
11, 11, West, 7, 665, West
10, 11, West, 5, 664, South
10, 10, South, 5, 663, South
10, 9, South, 5, 662, South
10, 8, South, 4, 661, South
10, 7, South, 4, 660, South
10, 6, South, 4, 759, West
9, 6, West, 3, 758, West
8, 6, West, 3, 757, Stop
8, 6, West, 4, 756, South
8, 5, South, 2, 755, South
1, 11, Stop, 7, 0, South
1, 10, South, 7, -1, South
1, 9, South, 5, -2, East
2, 9, East, 3, -3, East
3, 9, East, 2, -4, East
4, 9, East, 2, -5, East
5, 9, East, 2, -6, East
6, 9, East, 2, -7, East
7, 9, East, 3, -8, East
8, 9, East, 4, -9, East
9, 9, East, 2, -10, East
10, 9, East, 4, -11, North
10, 10, North, 3, -12, North
10, 11, North, 1, -13, West
9, 11, West, 9, 186, West
8, 11, West, 7, 185, West
7, 11, West, 7, 184, West
6, 11, West, 7, 183, South
6, 10, South, 7, 182, South
6, 9, South, 6, 181, South
6, 8, South, 6, 180, West
5, 8, West, 6, 179, West
4, 8, West, 6, 178, West
3, 8, West, 4, 177, West
2, 8, West, 2, 176, West
1, 8, West, 2, 175, South
1, 7, South, 10, 374, South
1, 6, South, 9, 373, South
1, 5, South, 7, 372, South
1, 4, South, 9, 371, East
2, 4, East, 8, 370, East
3, 4, East, 8, 369, East
4, 4, East, 8, 368, East
5, 4, East, 6, 367, East
6, 4, East, 4, 366, East
7, 4, East, 4, 365, East
8, 4, East, 2, 364, East
9, 4, East, 4, 363, North
9, 5, North, 4, 362, North
9, 6, North, 4, 361, North
9, 7, North, 4, 360, North
9, 8, North, 4, 359, West
8, 8, West, 2, 358, West
7, 8, West, 2, 357, West
6, 8, West, 15, 556, East
7, 8, East, 13, 555, East
8, 8, East, 13, 554, East
9, 8, East, 12, 553, South
9, 7, South, 11, 552, South
9, 6, South, 9, 551, South
9, 5, South, 9, 550, East
10, 5, East, 9, 549, East
11, 5, East, 9, 548, East
12, 5, East, 7, 547, East
13, 5, East, 5, 546, East
14, 5, East, 3, 545, North
14, 6, North, 3, 544, North
14, 7, North, 3, 543, North
14, 8, North, 3, 542, East
15, 8, East, 1, 541, East
1, 11, Stop, 7, 0, East
2, 11, East, 5, -1, East
3, 11, East, 3, -2, East
4, 11, East, 3, -3, East
5, 11, East, 2, -4, East
6, 11, East, 1, -5, East
7, 11, East, 2, 194, East
8, 11, East, 3, 193, East
9, 11, East, 5, 192, East
10, 11, East, 5, 191, East
11, 11, East, 5, 190, East
12, 11, East, 4, 189, East
13, 11, East, 2, 188, East
14, 11, East, 4, 187, South
14, 10, South, 2, 286, South
14, 9, South, 5, 485, South
14, 8, South, 7, 484, South
14, 7, South, 7, 483, South
14, 6, South, 9, 482, South
14, 5, South, 9, 481, West
13, 5, West, 7, 480, West
12, 5, West, 6, 479, West
11, 5, West, 6, 478, West
10, 5, West, 7, 477, North
10, 6, North, 6, 576, North
10, 7, North, 6, 575, North
10, 8, North, 4, 574, North
10, 9, North, 2, 573, North
10, 10, North, 15, 772, East
11, 10, East, 17, 771, Stop
11, 10, East, 17, 770, West
10, 10, West, 16, 769, Stop
10, 10, West, 16, 768, Stop
10, 10, West, 15, 767, South
10, 9, South, 15, 766, South
10, 8, South, 13, 765, South
10, 7, South, 12, 764, South
10, 6, South, 11, 763, South
10, 5, South, 11, 762, South
10, 4, South, 9, 761, West
9, 4, West, 7, 760, West
8, 4, West, 5, 759, West
7, 4, West, 5, 758, West
6, 4, West, 3, 757, West
5, 4, West, 1, 756, West
4, 4, West, 2, 755, West
3, 4, West, 4, 754, East
4, 4, East, 2, 753, East
1, 11, Stop, 7, 0, East
2, 11, East, 5, -1, East
3, 11, East, 4, -2, East
4, 11, East, 4, -3, East
5, 11, East, 2, -4, East
6, 11, East, 2, -5, East
7, 11, East, 3, -6, East
8, 11, East, 3, -7, East
9, 11, East, 3, -8, East
10, 11, East, 1, -9, East
11, 11, East, 5, 190, East
12, 11, East, 4, 189, East
13, 11, East, 4, 188, East
14, 11, East, 4, 187, South
14, 10, South, 4, 286, South
14, 9, South, 4, 285, South
14, 8, South, 3, 284, South
14, 7, South, 1, 283, West
13, 7, West, 4, 482, West
12, 7, West, 3, 481, Stop
12, 7, West, 4, 480, North
12, 8, North, 5, 479, North
12, 9, North, 6, 478, West
11, 9, West, 6, 477, West
10, 9, West, 5, 476, West
9, 9, West, 5, 475, West
8, 9, West, 3, 474, West
