@relation 'all-data-pacman-weka.filters.unsupervised.attribute.Reorder-R18-last,first-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Northlegal=False numeric
@attribute Southlegal=False numeric
@attribute Eastlegal=False numeric
@attribute Westlegal=False numeric
@attribute NumDots numeric
@attribute PosX numeric
@attribute PosY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute DistGhost1 numeric
@attribute DistGhost2 numeric
@attribute DistGhost3 numeric
@attribute DistGhost4 numeric
@attribute Score numeric
@attribute Direction {East,West,North,South,Stop}

@data
0,0,0,0,1,12,10,5,6,5,12,13,6,13,12,11,9,5,3,0,North
0,0,0,0,1,12,11,5,5,4,12,12,6,13,12,13,9,5,2,-1,North
0,0,0,0,1,12,12,6,5,4,13,12,7,14,12,13,9,5,2,-2,East
0,0,0,0,1,13,12,7,5,4,12,11,7,14,12,13,9,7,1,-3,East
0,0,0,0,1,14,12,7,6,5,12,11,8,14,11,13,9,7,1,-4,South
0,0,0,0,1,14,11,7,5,6,12,11,8,14,10,13,9,6,1,-5,South
0,0,0,0,1,14,10,8,5,6,13,11,8,7,1,11,11,5,0,194,South
0,0,0,0,1,14,9,9,5,5,13,11,8,7,1,9,13,4,0,193,South
0,0,0,0,1,14,8,8,5,5,14,11,9,7,1,9,15,4,0,192,North
0,0,0,0,1,14,9,9,5,5,13,12,9,7,1,9,13,2,0,191,West
0,0,0,0,1,13,9,9,6,5,13,11,9,7,1,7,12,2,0,190,West
0,0,0,0,1,12,9,9,6,5,14,11,9,7,1,6,12,1,0,189,West
0,0,0,0,1,11,9,9,5,4,14,5,1,7,1,6,12,0,0,388,South
0,0,0,0,1,11,8,9,4,5,14,5,1,7,1,6,12,0,0,387,South
0,0,0,0,1,11,7,9,3,5,14,5,1,7,1,6,13,0,0,386,South
0,0,0,0,1,11,6,8,3,5,13,5,1,7,1,6,13,0,0,385,South
0,0,0,0,1,11,5,8,4,6,13,5,1,7,1,4,13,0,0,384,South
0,0,0,0,1,11,4,8,5,6,14,5,1,7,1,4,15,0,0,383,North
0,0,0,0,1,11,5,7,5,5,14,5,1,7,1,4,15,0,0,382,West
